TIME;BeatAvg;;;;;;;;;BeatavgFiltered;SmoothedBeatavgFiltered
00:14:46;75.88;;;;;;;;;73.55;72.18
00:14:47;77.31;;;;;;;;;76.45;72.45
00:14:55;82.57;;;;;;;;;78.55;72.63
00:14:55;78.41;;;;;;;;;83.78;72.73
00:15:00;81.56;;;;;;;;;83.9;72.79
00:15:04;81.69;;;;;;;;;83.65;72.87
00:15:05;78.61;;;;;;;;;80.95;72.94
00:15:09;71.06;;;;;;;;;74.03;72.95
00:15:13;75.28;;;;;;;;;73.38;72.87
00:15:14;68.17;;;;;;;;;72.63;72.66
00:15:19;71.52;;;;;;;;;71.93;72.29
00:15:24;68.65;;;;;;;;;73.28;71.84
00:15:25;65.42;;;;;;;;;70.02;71.33
00:15:26;61.82;;;;;;;;;64.3;70.73
00:15:27;59.67;;;;;;;;;60.45;70.02
00:15:28;57.24;;;;;;;;;56.78;69.23
00:15:29;56.26;;;;;;;;;54.93;68.36
00:15:30;58.25;;;;;;;;;55.53;67.49
00:15:32;64.82;;;;;;;;;57.08;66.7
00:15:33;65.25;;;;;;;;;60.05;65.88
00:15:45;75.92;;;;;;;;;66.78;64.98
00:15:45;72.41;;;;;;;;;73.6;64.04
00:15:47;78.58;;;;;;;;;77.83;62.99
00:15:48;71.23;;;;;;;;;77.35;61.93
00:15:49;66.19;;;;;;;;;72.68;60.92
00:15:56;66.2;;;;;;;;;66.18;59.95
00:15:58;62.24;;;;;;;;;63.08;59.11
00:15:59;63.24;;;;;;;;;61.75;58.43
00:16:00;62.94;;;;;;;;;60.58;57.9
00:16:01;56.22;;;;;;;;;58.52;57.64
00:16:06;56.21;;;;;;;;;55.05;57.5
00:16:07;50.52;;;;;;;;;52.7;57.49
00:16:08;52.01;;;;;;;;;51.5;57.55
00:16:09;51.03;;;;;;;;;52.03;57.47
00:16:10;55.78;;;;;;;;;52.6;57.37
00:16:12;54.34;;;;;;;;;52.65;57.21
00:16:13;52.03;;;;;;;;;53.1;57.03
00:16:13;55.11;;;;;;;;;53.55;57.08
00:16:15;59.72;;;;;;;;;54.65;57.33
00:16:16;57.21;;;;;;;;;56.6;57.7
00:16:17;54.03;;;;;;;;;57.33;58.19
00:16:18;56.75;;;;;;;;;56.88;58.64
00:16:19;49.04;;;;;;;;;56.35;59.08
00:16:20;58.08;;;;;;;;;54.98;59.54
00:16:21;56.81;;;;;;;;;55.77;60.04
00:16:22;58.67;;;;;;;;;58.07;60.59
00:16:23;66.11;;;;;;;;;60.08;61.31
00:16:23;61.03;;;;;;;;;63.48;62.21
00:16:24;72.79;;;;;;;;;65.13;63.29
00:16:25;66.31;;;;;;;;;66.95;64.4
00:16:26;65.06;;;;;;;;;67.75;65.39
00:16:27;69.94;;;;;;;;;66.63;66.27
00:16:28;69.03;;;;;;;;;66.88;67.1
00:16:29;74.32;;;;;;;;;66.9;67.9
00:16:30;67.65;;;;;;;;;66.97;68.63
00:16:31;67.94;;;;;;;;;68.28;69.21
00:16:32;63.71;;;;;;;;;68.3;69.57
00:16:32;69.18;;;;;;;;;68.15;69.84
00:16:43;71.92;;;;;;;;;70.18;70.09
00:17:00;79.15;;;;;;;;;74.08;70.33
00:17:01;81.44;;;;;;;;;80.5;70.51
00:17:02;91.36;;;;;;;;;86.67;70.55
00:17:03;78.05;;;;;;;;;86.38;70.41
00:17:04;67.94;;;;;;;;;82.3;70.1
00:17:05;66.36;;;;;;;;;76.35;69.68
00:17:06;65.44;;;;;;;;;69.93;69.23
00:17:07;61.58;;;;;;;;;67.25;68.78
00:17:08;65.89;;;;;;;;;65.03;68.31
00:17:19;60.59;;;;;;;;;62.6;67.8
00:17:20;60.33;;;;;;;;;61.0;67.28
00:17:23;62.36;;;;;;;;;60.25;66.74
00:17:24;62.11;;;;;;;;;60.53;66.1
00:17:25;64.07;;;;;;;;;61.25;65.3
00:17:26;58.87;;;;;;;;;61.13;64.36
00:17:29;61.64;;;;;;;;;62.2;63.24
00:17:33;63.98;;;;;;;;;63.28;62.24
00:17:34;52.55;;;;;;;;;61.98;61.44
00:17:35;55.07;;;;;;;;;60.15;60.7
00:17:36;60.55;;;;;;;;;59.2;60.15
00:17:38;59.31;;;;;;;;;59.05;59.77
00:17:40;65.86;;;;;;;;;60.75;59.6
00:17:41;64.66;;;;;;;;;63.05;59.71
00:17:42;55.01;;;;;;;;;62.23;60.08
00:17:43;57.12;;;;;;;;;58.6;60.52
00:17:44;58.21;;;;;;;;;55.9;61.06
00:17:45;55.77;;;;;;;;;54.6;61.68
00:17:46;55.82;;;;;;;;;55.33;62.51
00:17:47;64.67;;;;;;;;;58.75;63.57
00:17:48;66.54;;;;;;;;;62.03;64.73
00:17:49;67.83;;;;;;;;;64.63;65.93
00:17:52;68.18;;;;;;;;;66.2;67.03
00:18:01;55.8;;;;;;;;;66.03;67.91
00:18:03;66.34;;;;;;;;;64.78;68.63
00:18:07;65.77;;;;;;;;;63.7;69.2
00:18:13;60.54;;;;;;;;;60.35;69.51
00:18:21;62.71;;;;;;;;;59.23;69.59
00:18:21;70.64;;;;;;;;;62.13;69.58
00:18:22;78.31;;;;;;;;;68.55;69.49
00:18:23;90.24;;;;;;;;;77.3;69.55
00:18:24;90.3;;;;;;;;;88.28;69.75
00:18:24;87.08;;;;;;;;;90.3;70.05
00:18:27;87.64;;;;;;;;;89.38;70.52
00:18:28;85.73;;;;;;;;;90.65;71.0
00:18:29;82.23;;;;;;;;;88.72;71.43
00:18:30;79.37;;;;;;;;;86.35;71.86
00:18:48;81.31;;;;;;;;;82.57;72.3
00:18:50;70.51;;;;;;;;;76.03;72.78
00:18:56;63.07;;;;;;;;;68.25;73.35
00:18:56;61.66;;;;;;;;;64.95;73.8
00:18:57;63.69;;;;;;;;;62.83;74.05
00:18:58;62.03;;;;;;;;;63.35;74.16
00:18:59;64.73;;;;;;;;;64.0;74.17
00:19:20;66.21;;;;;;;;;64.53;74.16
00:19:28;60.64;;;;;;;;;63.88;74.18
00:19:29;60.51;;;;;;;;;60.75;74.2
00:19:30;63.66;;;;;;;;;59.5;74.23
00:19:31;62.15;;;;;;;;;61.0;74.31
00:19:32;66.45;;;;;;;;;62.97;74.41
00:19:34;71.17;;;;;;;;;65.6;74.5
00:19:35;79.26;;;;;;;;;72.1;74.52
00:19:36;82.23;;;;;;;;;79.35;74.34
00:19:36;87.14;;;;;;;;;83.2;73.96
00:19:37;87.32;;;;;;;;;88.73;73.5
00:19:38;85.75;;;;;;;;;86.8;73.04
00:19:39;83.66;;;;;;;;;84.05;72.77
00:19:39;81.35;;;;;;;;;83.22;72.97
00:19:42;76.66;;;;;;;;;79.85;73.45
00:19:43;75.34;;;;;;;;;78.87;74.24
00:19:44;78.65;;;;;;;;;78.95;75.23
00:19:45;78.03;;;;;;;;;77.4;76.18
00:19:45;75.2;;;;;;;;;75.97;77.01
00:19:46;77.29;;;;;;;;;75.05;77.77
00:19:47;78.22;;;;;;;;;73.25;78.42
00:19:48;85.49;;;;;;;;;75.5;78.87
00:19:49;77.4;;;;;;;;;77.45;79.1
00:19:49;74.43;;;;;;;;;78.0;79.03
00:19:50;74.0;;;;;;;;;77.43;78.76
00:19:52;74.73;;;;;;;;;76.22;78.38
00:19:53;79.13;;;;;;;;;76.43;78.15
00:19:54;72.06;;;;;;;;;77.7;77.99
00:19:55;81.81;;;;;;;;;78.53;77.8
00:19:56;74.88;;;;;;;;;77.85;77.58
00:19:57;72.54;;;;;;;;;75.6;77.28
00:19:57;68.59;;;;;;;;;73.28;76.9
00:19:58;71.83;;;;;;;;;71.83;76.52
00:20:01;75.06;;;;;;;;;72.17;76.23
00:20:01;77.03;;;;;;;;;75.02;76.09
00:20:02;83.99;;;;;;;;;77.4;76.06
00:20:03;84.58;;;;;;;;;82.97;76.2
00:20:04;81.88;;;;;;;;;86.35;76.34
00:20:12;82.69;;;;;;;;;84.57;76.45
00:20:13;72.93;;;;;;;;;81.05;76.57
00:20:16;69.67;;;;;;;;;72.63;76.65
00:20:17;73.31;;;;;;;;;69.08;76.7
00:20:18;70.61;;;;;;;;;70.13;76.77
00:20:19;71.68;;;;;;;;;73.68;76.81
00:20:20;76.07;;;;;;;;;74.25;76.81
00:20:21;65.7;;;;;;;;;72.3;76.8
00:20:44;68.7;;;;;;;;;70.15;76.73
00:20:45;80.85;;;;;;;;;72.63;76.71
00:21:09;85.69;;;;;;;;;78.4;76.75
00:21:31;89.75;;;;;;;;;84.98;76.8
00:21:39;84.41;;;;;;;;;89.43;76.82
00:21:40;81.04;;;;;;;;;84.68;76.78
00:21:41;76.02;;;;;;;;;80.95;76.71
00:21:41;76.52;;;;;;;;;76.3;76.66
00:21:42;71.53;;;;;;;;;72.45;76.62
00:21:43;72.92;;;;;;;;;72.72;76.54
00:21:44;78.28;;;;;;;;;73.4;76.38
00:21:45;73.75;;;;;;;;;72.9;76.11
00:21:45;81.58;;;;;;;;;73.67;75.77
00:21:46;74.94;;;;;;;;;74.88;75.41
00:21:47;80.45;;;;;;;;;75.25;75.1
00:21:48;71.53;;;;;;;;;76.35;74.84
00:21:49;76.81;;;;;;;;;76.5;74.74
00:21:49;71.4;;;;;;;;;76.35;74.76
00:21:50;78.01;;;;;;;;;76.15;74.77
